A,B,C,D,Ans1,Ans2,Ans3,Ans4,type_relation,type_relation_jones,semantic_distance_near_far,distractor_salience_high_low
press,fruit juice,heels,fallen tree,lumberjack,hatchet,saw,forest,actie-resultaat,causal,,
stumble,fall,clean up,order,clutter,junk,room,thrift store,actie-resultaat,causal,far,high
shout,hoarse,clean up,order,clutter,junk,room,thrift store,actie-resultaat,causal,far,high
polishing,shine,photography,photo,camera,mountain,vacation,roll,actie-resultaat,causal,,high
drill,hole,photography,photo,camera,mountain,vacation,roll,actie-resultaat,causal,,high
photography,photo,seeding,plant,garden center,garden,soil,vegetable garden,actie-resultaat,causal,far,high
work,income,pave,street,tiles,garden,paver,hammer,actie-resultaat,causal,far,high
bins,cake,pave,street,tiles,garden,paver,hammer,actie-resultaat,causal,,high
work,money,calculate,solution,change,pencil,calculator,geography,actie-resultaat,causal,,high
run,tired,calculate,solution,change,pencil,calculator,geography,actie-resultaat,causal,far,high
calculate,reply,sleep,equipped,bed,bedroom,tired,pajamas,actie-resultaat,causal,far,high
stumble,fall,sleep,equipped,bed,bedroom,tired,pajamas,actie-resultaat,causal,far,high
dismiss,unemployed,questions,reply,Miss,class,book,assignments,actie-resultaat,causal,far,low
wash,clean,questions,reply,Miss,class,book,assignments,actie-resultaat,causal,far,low
scrub,clean,sun,burned,lemon,beach,stars,cooking,actie-resultaat,causal,,high
work,income,sun,burned,lemon,beach,stars,cooking,actie-resultaat,causal,far,high
bins,cake,call,conversation,phone,listen,phone number,soap,actie-resultaat,causal,far,high
scrub,clean,call,conversation,phone,listen,phone number,soap,actie-resultaat,causal,far,high
cooking,dinner,bins,cake,griddle,soup,evening,baker,actie-resultaat,causal,near,low
wash,clean,cooking,done,stove,nice,ice,chef,actie-resultaat,causal,near,high
draw,drawing,cooking,done,stove,nice,ice,chef,actie-resultaat,causal,far,high
black driving,fine,help,thank you,shopping,washing up,little sister,fine,actie-resultaat,causal,far,high
grub,potatoes,poetry,poem,write,open,store,clouds,actie-resultaat,causal,,high
