rel;start;end;weight
At Location;canoe;water;3.464
At Location;anemone;water;3.464
At Location;brain;person;3.464
At Location;blanket;bedroom;4.0
At Location;butter;restaurant;4.472
At Location;bird;sky;4.0
At Location;blotter;desk;4.899
At Location;beer;bar;4.899
At Location;ball;toybox;3.464
At Location;bill;congress;3.464
At Location;bee;garden;3.464
At Location;book;shelf;5.292
At Location;advertising;newspaper;6.0
At Location;boat;water;8.246
At Location;acorn;tree;3.464
At Location;cake;bakery;4.899
At Location;bookshelf;library;7.211
At Location;advertisement;mail;4.0
At Location;cacti;desert;3.464
At Location;bed;house;4.0
At Location;bookstore;city;3.464
At Location;beer;bottle;3.464
At Location;book;desk;3.464
At Location;armoire;bedroom;3.464
At Location;boat;ocean;3.464
At Location;battle;war;4.0
At Location;brain;skull;3.464
At Location;bookshop;mall;3.464
At Location;body;coffin;4.0
At Location;bogeyman;bed;4.0
At Location;bar;city;4.0
At Location;alcohol;pub;4.0
At Location;bishop;church;4.899
At Location;automobile;garage;4.899
At Location;bread;supermarket;4.0
At Location;bread;dinner;3.464
At Location;bone;vertebrate;4.0
At Location;ad;newspaper;4.0
At Location;calendar;desk;4.899
At Location;beaver;canada;3.464
At Location;bat;belfry;4.0
At Location;box;garage;4.472
At Location;bicycle;street;6.633
At Location;book;classroom;6.325
At Location;bazaar;india;3.464
At Location;bill;restaurant;4.472
At Location;beer;refrigerator;4.472
At Location;alcohol;plane;3.464
At Location;branch;forest;3.464
At Location;actor;show;3.464
At Location;cake;party;4.0
At Location;bath;house;3.464
At Location;boat;harbor;3.464
At Location;captain;ship;5.292
At Location;beaver;zoo;4.0
At Location;airplane;air;4.472
At Location;capital;country;7.483
At Location;cable;computer;4.0
At Location;basement;closet;4.899
At Location;beam;house;3.464
At Location;bathroom;house;5.657
At Location;bean;soup;3.464
At Location;butter;pastry;4.472
At Location;actor;movie;4.472
At Location;calendar;desktop;3.464
At Location;bell;church;5.292
At Location;bread;store;4.0
At Location;candle;table;3.464
At Location;bread;breadbox;6.928
At Location;calculator;desk;4.0
At Location;bomb;war;4.0
At Location;audience;theatre;5.657
At Location;airplane;sky;7.483
At Location;car;city;7.483
At Location;building;town;4.899
At Location;bombardon;war;3.464
At Location;antenna;roof;4.899
At Location;bed;room;3.464
At Location;artifact;museum;3.464
At Location;aisle;church;3.464
At Location;brother;family;3.464
