Layer,Head,Weight
13,27,1.3672
15,17,0.4824
15,1,0.4277
15,16,0.3477
16,29,0.3301
10,5,0.2451
17,8,0.1387
13,6,0.1338
15,2,0.1230
15,28,0.1060
14,29,0.1050
11,29,0.1021
13,31,0.1001
17,5,0.0938
15,7,0.0854
14,11,0.0840
13,22,0.0820
9,27,0.0781
21,10,0.0708
15,19,0.0698
10,7,0.0620
15,5,0.0608
14,6,0.0601
19,23,0.0593
16,28,0.0496
11,30,0.0493
10,12,0.0479
9,25,0.0449
13,29,0.0435
13,23,0.0427
16,1,0.0405
21,2,0.0400
31,14,0.0398
31,22,0.0393
16,25,0.0391
14,12,0.0381
15,21,0.0381
27,28,0.0381
15,8,0.0374
14,23,0.0366
13,30,0.0349
15,30,0.0347
19,2,0.0344
25,23,0.0330
14,4,0.0322
13,19,0.0312
11,16,0.0298
14,20,0.0298
17,18,0.0292
15,9,0.0284
22,19,0.0277
13,24,0.0273
12,0,0.0247
21,19,0.0243
13,21,0.0242
14,31,0.0234
13,8,0.0233
16,7,0.0226
15,24,0.0225
18,29,0.0221
13,18,0.0219
13,4,0.0209
21,9,0.0201
26,10,0.0198
12,15,0.0193
14,8,0.0189
9,29,0.0188
30,6,0.0186
17,24,0.0182
20,8,0.0182
12,29,0.0178
12,24,0.0170
14,19,0.0170
9,4,0.0165
18,28,0.0164
28,14,0.0161
13,20,0.0154
11,2,0.0152
30,13,0.0151
6,2,0.0149
12,10,0.0149
17,16,0.0149
11,28,0.0143
6,31,0.0142
19,13,0.0142
12,23,0.0141
14,25,0.0139
18,12,0.0131
13,2,0.0130
17,4,0.0129
16,20,0.0129
11,0,0.0128
21,1,0.0126
13,0,0.0126
30,27,0.0125
28,10,0.0123
14,24,0.0121
9,19,0.0120
10,2,0.0117
30,22,0.0115
11,6,0.0115
22,9,0.0115
28,12,0.0115
11,17,0.0114
24,21,0.0114
21,5,0.0114
10,26,0.0111
17,13,0.0110
12,11,0.0107
22,3,0.0107
17,25,0.0106
10,22,0.0104
30,31,0.0103
10,14,0.0102
12,1,0.0100
27,2,0.0099
31,15,0.0098
11,22,0.0098
19,1,0.0098
27,21,0.0096
24,2,0.0093
24,19,0.0093
10,8,0.0090
30,16,0.0090
8,1,0.0088
27,1,0.0088
15,25,0.0087
14,17,0.0084
9,13,0.0083
10,15,0.0083
30,28,0.0081
27,14,0.0078
14,5,0.0076
21,4,0.0075
17,10,0.0074
17,14,0.0073
28,25,0.0072
11,12,0.0071
25,11,0.0070
9,6,0.0070
31,2,0.0069
14,3,0.0069
12,6,0.0068
30,0,0.0068
12,8,0.0067
14,21,0.0065
19,15,0.0065
27,7,0.0065
10,3,0.0063
15,3,0.0063
15,11,0.0062
12,28,0.0061
16,8,0.0061
18,8,0.0060
31,24,0.0060
8,3,0.0059
29,25,0.0059
10,16,0.0056
26,28,0.0056
10,9,0.0056
28,3,0.0055
14,27,0.0054
8,22,0.0052
27,0,0.0051
13,11,0.0050
22,17,0.0049
23,21,0.0048
7,22,0.0048
27,29,0.0048
31,31,0.0047
9,7,0.0047
3,0,0.0046
31,6,0.0046
16,12,0.0045
30,18,0.0045
12,4,0.0044
7,18,0.0043
22,30,0.0043
11,11,0.0042
21,27,0.0042
30,9,0.0042
13,15,0.0041
20,12,0.0041
23,17,0.0041
6,27,0.0040
16,6,0.0040
20,22,0.0040
5,8,0.0040
31,12,0.0039
9,11,0.0038
15,23,0.0038
6,28,0.0038
6,19,0.0038
11,10,0.0038
15,27,0.0038
8,16,0.0038
9,31,0.0038
28,9,0.0037
10,21,0.0037
14,15,0.0037
18,1,0.0037
17,22,0.0035
23,4,0.0035
12,17,0.0034
12,9,0.0034
16,22,0.0034
20,26,0.0034
12,16,0.0034
20,18,0.0034
9,2,0.0033
23,7,0.0033
7,6,0.0033
25,22,0.0033
26,1,0.0032
29,10,0.0032
11,13,0.0031
12,19,0.0031
20,6,0.0031
18,20,0.0030
28,5,0.0030
12,22,0.0029
24,23,0.0029
10,17,0.0029
12,21,0.0029
14,13,0.0029
25,7,0.0029
8,9,0.0028
17,2,0.0028
24,1,0.0028
29,30,0.0027
7,23,0.0027
26,23,0.0027
3,19,0.0026
10,29,0.0026
29,20,0.0026
16,11,0.0026
26,21,0.0026
2,14,0.0025
10,19,0.0025
18,15,0.0025
7,3,0.0025
28,29,0.0025
29,3,0.0025
5,12,0.0024
1,10,0.0024
23,30,0.0024
7,21,0.0024
7,12,0.0024
13,1,0.0024
1,16,0.0023
3,7,0.0023
23,2,0.0023
25,25,0.0023
19,31,0.0023
2,3,0.0022
7,19,0.0022
0,14,0.0022
7,26,0.0022
19,0,0.0022
0,3,0.0022
27,20,0.0022
5,23,0.0022
9,16,0.0022
0,8,0.0021
24,31,0.0021
2,7,0.0020
18,25,0.0020
28,21,0.0020
29,23,0.0020
27,13,0.0020
15,12,0.0020
28,17,0.0020
6,21,0.0020
28,1,0.0020
31,26,0.0020
18,26,0.0020
30,24,0.0020
2,9,0.0019
22,16,0.0019
3,8,0.0019
8,10,0.0019
6,0,0.0019
26,4,0.0019
28,26,0.0019
0,9,0.0018
20,4,0.0018
27,6,0.0018
23,0,0.0018
0,23,0.0018
24,4,0.0018
4,25,0.0017
7,10,0.0017
27,9,0.0017
27,10,0.0017
21,6,0.0017
26,7,0.0017
1,30,0.0017
3,6,0.0017
15,22,0.0017
27,27,0.0017
4,17,0.0017
6,7,0.0017
17,20,0.0017
5,14,0.0017
0,21,0.0017
24,5,0.0017
14,0,0.0016
15,20,0.0016
10,24,0.0016
20,28,0.0016
0,0,0.0016
22,22,0.0016
2,18,0.0016
9,15,0.0016
3,26,0.0016
8,14,0.0016
15,4,0.0016
0,6,0.0016
22,6,0.0016
8,26,0.0016
30,3,0.0016
21,22,0.0015
24,15,0.0015
27,25,0.0015
8,5,0.0015
26,5,0.0015
26,9,0.0015
24,0,0.0015
3,2,0.0015
18,17,0.0015
22,29,0.0015
5,15,0.0014
7,25,0.0014
5,10,0.0014
21,16,0.0014
1,22,0.0014
5,1,0.0014
5,0,0.0014
6,4,0.0014
2,13,0.0014
19,9,0.0014
8,13,0.0014
25,24,0.0014
31,19,0.0014
4,10,0.0014
0,28,0.0013
20,17,0.0013
4,21,0.0013
23,19,0.0013
8,25,0.0013
8,30,0.0013
18,22,0.0013
24,29,0.0013
7,15,0.0013
22,20,0.0013
26,25,0.0013
4,24,0.0012
23,28,0.0012
5,2,0.0012
21,20,0.0012
20,29,0.0012
6,16,0.0012
16,10,0.0012
20,30,0.0012
3,14,0.0012
9,26,0.0012
20,5,0.0012
8,21,0.0012
26,16,0.0012
7,8,0.0012
22,4,0.0012
16,4,0.0011
17,11,0.0011
27,31,0.0011
0,16,0.0011
9,21,0.0011
26,17,0.0011
0,1,0.0011
1,23,0.0011
25,19,0.0011
1,12,0.0011
11,20,0.0011
10,23,0.0011
27,12,0.0011
25,3,0.0011
3,17,0.0011
24,12,0.0011
27,4,0.0011
4,3,0.0011
20,16,0.0011
26,2,0.0011
27,17,0.0010
24,8,0.0010
29,24,0.0010
11,25,0.0010
16,13,0.0010
21,18,0.0010
28,30,0.0010
3,24,0.0010
3,16,0.0010
1,8,0.0010
5,17,0.0010
0,27,0.0010
20,3,0.0010
29,28,0.0010
3,1,0.0010
19,12,0.0009
2,19,0.0009
28,31,0.0009
24,20,0.0009
5,28,0.0009
25,1,0.0009
1,26,0.0009
30,11,0.0009
7,24,0.0009
28,6,0.0009
4,20,0.0009
24,13,0.0009
9,23,0.0009
1,13,0.0009
1,1,0.0009
4,7,0.0009
24,26,0.0009
5,16,0.0008
5,4,0.0008
6,25,0.0008
0,15,0.0008
10,25,0.0008
5,24,0.0008
2,24,0.0008
10,18,0.0008
2,17,0.0008
4,15,0.0008
17,7,0.0008
23,29,0.0008
14,26,0.0008
7,1,0.0008
17,1,0.0008
28,23,0.0008
1,6,0.0008
1,9,0.0008
9,1,0.0008
2,26,0.0008
17,29,0.0008
21,13,0.0008
0,24,0.0008
8,2,0.0008
25,2,0.0008
17,30,0.0007
25,30,0.0007
7,5,0.0007
0,13,0.0007
28,2,0.0007
11,24,0.0007
22,21,0.0007
22,26,0.0007
1,24,0.0007
3,18,0.0007
26,20,0.0007
6,13,0.0007
19,30,0.0007
0,18,0.0007
1,17,0.0007
17,17,0.0007
2,8,0.0006
5,20,0.0006
17,21,0.0006
1,5,0.0006
2,16,0.0006
8,28,0.0006
0,20,0.0006
6,6,0.0006
26,11,0.0006
18,18,0.0006
0,10,0.0006
21,17,0.0006
30,8,0.0006
6,3,0.0006
17,19,0.0006
5,7,0.0006
11,8,0.0006
27,24,0.0006
30,4,0.0006
3,11,0.0006
0,25,0.0006
2,23,0.0006
0,11,0.0006
10,31,0.0006
23,14,0.0006
31,17,0.0006
24,9,0.0006
27,5,0.0005
28,15,0.0005
28,16,0.0005
28,19,0.0005
24,30,0.0005
4,5,0.0005
17,28,0.0005
29,22,0.0005
29,14,0.0005
4,8,0.0005
19,21,0.0005
30,17,0.0005
5,25,0.0005
22,24,0.0005
25,9,0.0005
31,18,0.0004
6,10,0.0004
31,29,0.0004
2,4,0.0004
16,14,0.0004
7,29,0.0004
6,15,0.0004
2,2,0.0004
23,10,0.0004
23,16,0.0004
6,9,0.0004
23,26,0.0004
25,26,0.0004
8,29,0.0004
19,19,0.0004
24,6,0.0004
19,5,0.0004
2,27,0.0004
24,7,0.0003
1,19,0.0003
4,26,0.0003
1,7,0.0003
24,10,0.0003
29,4,0.0003
3,31,0.0003
19,16,0.0003
24,11,0.0003
25,12,0.0003
10,28,0.0003
2,31,0.0003
4,14,0.0003
29,18,0.0003
9,9,0.0003
21,30,0.0003
1,3,0.0003
4,0,0.0003
10,11,0.0003
15,31,0.0003
19,10,0.0003
4,11,0.0003
29,27,0.0003
19,7,0.0003
29,29,0.0003
22,5,0.0002
19,24,0.0002
1,4,0.0002
25,28,0.0002
11,31,0.0002
5,30,0.0002
24,14,0.0002
0,29,0.0002
20,19,0.0002
20,13,0.0002
22,13,0.0002
12,26,0.0002
9,10,0.0002
4,29,0.0002
19,4,0.0002
26,24,0.0002
29,15,0.0001
29,0,0.0001
4,22,0.0001
29,1,0.0001
6,1,0.0001
8,8,0.0001
22,25,0.0001
19,6,0.0001
2,5,0.0001
1,11,0.0001
5,6,0.0001
27,3,0.0001
3,20,0.0001
23,18,0.0001
14,10,0.0001
6,20,0.0000
30,14,0.0000
23,1,0.0000
15,0,0.0000
28,28,0.0000
18,31,0.0000
16,5,0.0000
25,0,0.0000
20,7,0.0000
26,8,0.0000
23,15,0.0000
27,11,-0.0000
0,5,-0.0000
19,20,-0.0000
0,31,-0.0000
0,2,-0.0000
5,9,-0.0000
7,13,-0.0000
5,27,-0.0000
25,29,-0.0000
21,21,-0.0000
23,11,-0.0001
11,3,-0.0001
18,2,-0.0001
3,23,-0.0001
6,26,-0.0001
9,20,-0.0001
4,23,-0.0001
4,1,-0.0001
2,1,-0.0001
3,5,-0.0001
2,25,-0.0001
1,25,-0.0001
4,18,-0.0001
1,27,-0.0001
2,28,-0.0001
27,19,-0.0001
1,0,-0.0001
2,30,-0.0001
23,13,-0.0001
18,13,-0.0001
20,11,-0.0001
6,11,-0.0001
23,31,-0.0002
18,6,-0.0002
28,4,-0.0002
1,18,-0.0002
25,8,-0.0002
20,23,-0.0002
6,23,-0.0002
31,4,-0.0002
1,2,-0.0002
6,12,-0.0002
3,25,-0.0002
18,21,-0.0002
30,5,-0.0002
3,29,-0.0002
23,24,-0.0002
9,12,-0.0002
18,3,-0.0002
26,0,-0.0002
0,30,-0.0002
3,28,-0.0002
1,29,-0.0002
20,15,-0.0003
5,18,-0.0003
16,27,-0.0003
9,8,-0.0003
4,12,-0.0003
2,10,-0.0003
29,5,-0.0003
22,7,-0.0003
30,10,-0.0003
4,4,-0.0003
23,3,-0.0003
3,4,-0.0003
19,28,-0.0003
3,22,-0.0003
19,29,-0.0003
2,29,-0.0003
25,15,-0.0003
6,18,-0.0003
3,10,-0.0004
19,26,-0.0004
20,25,-0.0004
29,16,-0.0004
30,26,-0.0004
18,27,-0.0004
30,23,-0.0004
28,22,-0.0004
0,17,-0.0004
8,0,-0.0004
3,30,-0.0004
21,7,-0.0004
11,1,-0.0004
18,14,-0.0004
19,11,-0.0004
27,15,-0.0004
26,19,-0.0005
29,7,-0.0005
29,17,-0.0005
1,21,-0.0005
4,9,-0.0005
18,9,-0.0005
6,5,-0.0005
29,21,-0.0005
0,12,-0.0005
20,24,-0.0005
21,28,-0.0005
12,20,-0.0005
20,31,-0.0005
8,6,-0.0005
24,24,-0.0005
8,12,-0.0006
26,18,-0.0006
29,19,-0.0006
7,11,-0.0006
0,26,-0.0006
5,11,-0.0006
28,7,-0.0006
0,19,-0.0007
6,30,-0.0007
20,2,-0.0007
29,13,-0.0007
26,26,-0.0007
7,20,-0.0007
29,2,-0.0007
5,21,-0.0007
30,12,-0.0007
9,22,-0.0007
20,20,-0.0007
29,6,-0.0007
2,21,-0.0007
0,4,-0.0007
3,3,-0.0007
8,11,-0.0007
28,8,-0.0007
8,27,-0.0008
22,12,-0.0008
25,5,-0.0008
14,2,-0.0008
1,20,-0.0008
1,14,-0.0008
16,24,-0.0008
23,9,-0.0008
24,28,-0.0008
26,6,-0.0008
4,30,-0.0008
25,31,-0.0008
31,8,-0.0008
31,28,-0.0009
5,31,-0.0009
18,30,-0.0009
5,22,-0.0009
2,6,-0.0009
4,6,-0.0009
16,15,-0.0009
29,26,-0.0009
6,8,-0.0009
22,15,-0.0009
6,14,-0.0009
4,31,-0.0009
8,18,-0.0009
4,16,-0.0009
7,16,-0.0009
27,8,-0.0009
10,20,-0.0010
7,7,-0.0010
4,28,-0.0010
26,12,-0.0010
8,20,-0.0010
24,25,-0.0010
6,22,-0.0010
8,15,-0.0010
9,3,-0.0010
24,17,-0.0010
2,0,-0.0010
12,13,-0.0011
3,13,-0.0011
26,3,-0.0011
16,26,-0.0011
31,16,-0.0011
1,28,-0.0011
4,27,-0.0011
11,21,-0.0012
3,27,-0.0012
6,24,-0.0012
23,27,-0.0012
0,22,-0.0012
3,21,-0.0012
4,13,-0.0012
5,5,-0.0012
4,2,-0.0012
5,26,-0.0012
2,15,-0.0013
1,31,-0.0013
4,19,-0.0013
1,15,-0.0013
25,10,-0.0013
29,12,-0.0013
13,3,-0.0013
5,13,-0.0013
9,30,-0.0013
31,9,-0.0013
7,14,-0.0013
11,14,-0.0013
3,12,-0.0013
21,11,-0.0013
2,11,-0.0013
6,29,-0.0013
13,12,-0.0013
25,6,-0.0014
30,7,-0.0014
14,1,-0.0014
25,16,-0.0014
3,15,-0.0014
2,22,-0.0014
30,20,-0.0014
31,10,-0.0014
2,20,-0.0014
31,27,-0.0014
24,22,-0.0014
0,7,-0.0014
22,28,-0.0015
7,2,-0.0015
2,12,-0.0015
9,0,-0.0015
3,9,-0.0016
8,19,-0.0016
25,27,-0.0016
22,31,-0.0016
7,30,-0.0016
27,26,-0.0016
27,18,-0.0017
8,17,-0.0017
5,19,-0.0017
17,15,-0.0017
8,7,-0.0018
20,10,-0.0018
29,11,-0.0018
8,23,-0.0019
20,0,-0.0019
28,24,-0.0019
28,27,-0.0019
8,4,-0.0019
10,30,-0.0019
21,23,-0.0019
26,30,-0.0019
7,31,-0.0019
29,9,-0.0019
5,29,-0.0019
31,11,-0.0019
21,29,-0.0020
19,18,-0.0020
5,3,-0.0021
11,15,-0.0021
20,21,-0.0021
15,14,-0.0021
12,7,-0.0022
8,31,-0.0022
30,29,-0.0022
22,10,-0.0022
7,28,-0.0023
25,17,-0.0023
26,22,-0.0023
30,30,-0.0023
23,23,-0.0023
25,4,-0.0023
18,7,-0.0024
23,8,-0.0024
10,27,-0.0024
19,25,-0.0024
31,23,-0.0024
6,17,-0.0024
12,2,-0.0024
16,18,-0.0024
21,0,-0.0024
19,22,-0.0025
18,11,-0.0025
15,15,-0.0025
23,12,-0.0025
25,13,-0.0027
26,13,-0.0027
12,18,-0.0028
26,29,-0.0028
7,27,-0.0028
9,18,-0.0028
16,17,-0.0029
24,18,-0.0030
17,31,-0.0030
17,9,-0.0030
26,31,-0.0031
16,9,-0.0031
19,8,-0.0032
16,31,-0.0032
31,3,-0.0033
13,9,-0.0033
21,15,-0.0033
7,0,-0.0033
7,4,-0.0033
9,14,-0.0033
16,23,-0.0033
19,17,-0.0033
23,5,-0.0033
21,24,-0.0034
7,9,-0.0034
7,17,-0.0034
22,23,-0.0034
10,13,-0.0035
10,1,-0.0035
17,3,-0.0035
11,18,-0.0035
8,24,-0.0037
18,0,-0.0038
18,24,-0.0038
30,2,-0.0038
30,19,-0.0039
21,12,-0.0039
30,1,-0.0040
17,0,-0.0040
25,14,-0.0041
19,27,-0.0041
23,22,-0.0041
23,25,-0.0041
10,0,-0.0041
9,17,-0.0042
30,21,-0.0043
26,14,-0.0044
9,24,-0.0044
25,20,-0.0045
22,2,-0.0046
12,3,-0.0046
23,6,-0.0046
9,5,-0.0046
31,25,-0.0047
11,19,-0.0048
29,31,-0.0049
28,20,-0.0050
12,14,-0.0051
24,16,-0.0051
11,7,-0.0052
31,7,-0.0053
28,18,-0.0054
21,31,-0.0055
28,11,-0.0055
13,14,-0.0056
23,20,-0.0057
16,16,-0.0059
16,21,-0.0060
13,7,-0.0061
13,13,-0.0063
13,16,-0.0063
26,27,-0.0063
27,23,-0.0063
11,9,-0.0063
31,21,-0.0064
27,22,-0.0065
21,26,-0.0066
22,18,-0.0067
12,25,-0.0069
17,26,-0.0070
31,20,-0.0070
18,5,-0.0071
31,0,-0.0074
31,5,-0.0076
15,29,-0.0077
28,13,-0.0077
14,9,-0.0079
18,19,-0.0080
22,27,-0.0081
25,18,-0.0081
12,30,-0.0081
18,4,-0.0081
9,28,-0.0082
22,8,-0.0091
18,23,-0.0092
12,27,-0.0092
27,16,-0.0094
11,26,-0.0095
11,23,-0.0098
18,10,-0.0098
12,5,-0.0099
17,23,-0.0099
27,30,-0.0100
22,1,-0.0103
31,1,-0.0103
15,13,-0.0104
29,8,-0.0104
11,4,-0.0105
22,0,-0.0105
22,14,-0.0105
20,9,-0.0108
28,0,-0.0109
17,12,-0.0113
10,4,-0.0115
14,14,-0.0115
30,15,-0.0120
11,27,-0.0121
26,15,-0.0121
15,26,-0.0129
31,30,-0.0129
21,25,-0.0131
22,11,-0.0142
21,14,-0.0144
19,14,-0.0145
13,10,-0.0151
16,2,-0.0151
10,10,-0.0156
13,26,-0.0157
13,5,-0.0165
14,18,-0.0172
12,31,-0.0184
14,16,-0.0186
14,22,-0.0194
16,19,-0.0194
12,12,-0.0198
20,27,-0.0199
21,8,-0.0205
14,30,-0.0206
17,27,-0.0215
31,13,-0.0220
30,25,-0.0226
11,5,-0.0229
24,27,-0.0240
16,3,-0.0250
18,16,-0.0264
13,17,-0.0265
25,21,-0.0300
20,14,-0.0315
24,3,-0.0361
20,1,-0.0413
16,0,-0.0415
19,3,-0.0437
13,28,-0.0439
