Layer,Head,Weight
31,18,0.2305
34,25,0.1631
34,24,0.1367
25,11,0.1245
22,55,0.0898
35,57,0.0806
22,52,0.0708
33,52,0.0693
16,37,0.0659
33,32,0.0586
33,35,0.0542
36,22,0.0540
33,3,0.0520
34,31,0.0505
31,19,0.0474
25,9,0.0471
76,10,0.0461
16,39,0.0432
33,9,0.0417
21,34,0.0374
18,7,0.0369
31,17,0.0364
37,2,0.0356
25,14,0.0322
27,16,0.0315
16,38,0.0291
69,41,0.0282
22,33,0.0275
31,1,0.0273
35,47,0.0256
38,18,0.0248
26,35,0.0245
28,20,0.0234
44,1,0.0232
31,21,0.0229
76,63,0.0217
38,62,0.0209
28,19,0.0204
17,8,0.0201
14,61,0.0197
27,19,0.0197
34,41,0.0195
34,10,0.0192
29,15,0.0190
25,60,0.0181
34,36,0.0181
30,31,0.0177
23,29,0.0171
27,22,0.0168
38,22,0.0167
66,7,0.0159
32,21,0.0157
31,53,0.0154
38,19,0.0149
19,43,0.0148
49,1,0.0148
26,31,0.0146
35,44,0.0146
34,2,0.0145
21,39,0.0136
34,54,0.0132
35,33,0.0129
70,5,0.0129
25,58,0.0116
30,62,0.0115
38,61,0.0115
73,15,0.0112
37,29,0.0111
22,34,0.0110
73,61,0.0110
25,52,0.0110
45,6,0.0109
32,40,0.0106
28,23,0.0105
27,28,0.0104
79,1,0.0102
36,3,0.0101
34,39,0.0098
34,52,0.0098
36,6,0.0096
30,50,0.0096
37,57,0.0096
79,11,0.0095
32,7,0.0094
32,5,0.0092
38,28,0.0085
18,14,0.0084
43,9,0.0084
34,51,0.0081
40,12,0.0081
19,50,0.0079
56,53,0.0078
31,11,0.0078
49,6,0.0078
23,11,0.0076
74,13,0.0076
31,6,0.0073
34,11,0.0073
24,51,0.0071
38,39,0.0071
36,11,0.0070
21,58,0.0069
33,37,0.0068
39,44,0.0068
23,1,0.0067
17,12,0.0067
48,56,0.0067
23,35,0.0066
30,53,0.0065
35,12,0.0064
18,11,0.0063
35,55,0.0063
33,44,0.0062
29,51,0.0060
31,5,0.0060
34,1,0.0060
30,1,0.0060
29,14,0.0059
33,20,0.0057
24,1,0.0056
79,15,0.0055
33,56,0.0054
27,58,0.0054
32,12,0.0053
47,13,0.0053
75,32,0.0053
37,45,0.0053
36,39,0.0052
23,8,0.0051
77,42,0.0051
33,48,0.0050
32,1,0.0050
41,19,0.0050
35,39,0.0049
28,18,0.0049
28,6,0.0048
33,29,0.0048
75,0,0.0048
32,6,0.0045
73,14,0.0045
73,4,0.0044
38,48,0.0044
70,13,0.0043
75,19,0.0043
25,39,0.0043
27,5,0.0043
23,3,0.0042
78,15,0.0041
18,57,0.0041
18,44,0.0040
18,5,0.0038
26,56,0.0038
22,15,0.0037
32,3,0.0036
35,27,0.0035
36,49,0.0035
17,48,0.0035
33,11,0.0034
36,37,0.0034
33,13,0.0033
28,31,0.0033
27,37,0.0033
40,39,0.0032
33,1,0.0031
38,20,0.0030
25,37,0.0030
30,9,0.0029
70,40,0.0029
31,50,0.0027
36,14,0.0026
34,27,0.0026
73,27,0.0025
26,50,0.0025
35,4,0.0025
20,43,0.0025
73,9,0.0025
29,38,0.0025
30,14,0.0025
77,21,0.0025
78,4,0.0025
69,39,0.0024
29,58,0.0024
71,0,0.0024
76,4,0.0024
17,15,0.0024
25,49,0.0023
38,55,0.0023
41,46,0.0023
35,1,0.0023
24,38,0.0023
17,11,0.0022
79,12,0.0022
25,24,0.0022
23,9,0.0020
35,21,0.0020
31,15,0.0020
76,35,0.0020
22,54,0.0019
35,35,0.0019
46,17,0.0019
55,10,0.0019
77,41,0.0019
19,44,0.0019
39,54,0.0018
25,63,0.0018
76,57,0.0018
18,54,0.0018
21,61,0.0018
23,42,0.0017
42,14,0.0017
27,27,0.0017
75,3,0.0017
34,23,0.0017
78,16,0.0017
75,54,0.0017
34,14,0.0016
34,45,0.0016
30,63,0.0016
74,6,0.0015
23,47,0.0015
37,7,0.0015
31,60,0.0014
79,45,0.0014
36,46,0.0014
67,59,0.0014
31,44,0.0014
79,5,0.0014
24,5,0.0013
25,57,0.0013
20,51,0.0013
18,15,0.0012
28,46,0.0012
34,44,0.0012
35,29,0.0012
15,27,0.0012
32,53,0.0011
65,58,0.0011
67,30,0.0011
78,5,0.0011
61,4,0.0010
17,7,0.0010
18,4,0.0010
36,4,0.0010
78,25,0.0010
60,8,0.0010
36,32,0.0009
55,13,0.0009
67,63,0.0009
76,20,0.0009
29,5,0.0009
78,26,0.0009
31,2,0.0009
17,20,0.0009
26,39,0.0008
74,0,0.0008
79,53,0.0008
75,15,0.0008
29,37,0.0008
22,9,0.0007
75,8,0.0007
70,6,0.0007
65,0,0.0007
67,39,0.0007
77,4,0.0007
13,62,0.0007
62,30,0.0007
24,39,0.0007
73,29,0.0007
41,30,0.0006
79,31,0.0006
68,36,0.0006
70,7,0.0006
79,25,0.0005
30,12,0.0005
33,45,0.0005
77,35,0.0005
79,63,0.0005
19,26,0.0005
63,59,0.0005
58,10,0.0005
79,61,0.0005
78,41,0.0005
71,60,0.0005
79,30,0.0005
34,37,0.0004
52,45,0.0004
33,16,0.0004
28,28,0.0004
19,62,0.0003
19,41,0.0003
28,1,0.0003
34,30,0.0003
73,7,0.0003
79,58,0.0003
34,57,0.0003
74,44,0.0002
79,49,0.0002
78,37,0.0002
31,34,0.0002
79,51,0.0002
76,37,0.0002
18,59,0.0002
44,55,0.0002
19,5,0.0002
0,37,0.0001
36,36,0.0001
44,6,0.0001
27,15,0.0001
18,19,0.0001
19,28,0.0001
16,63,0.0001
77,52,0.0001
78,51,0.0001
12,15,0.0001
27,54,0.0001
48,13,0.0001
31,47,0.0001
70,43,0.0001
79,35,0.0001
10,38,0.0001
