layer,head,prompt_format,relation,response_type,task_type,language,relation_verbal,relation_abstract
0,0,0.8091114416625452,0.11682183255429844,0.4479960657441398,0.6333483599571641,0.08427466719198713,0.035330208858564645,-0.0012885509370640898
0,1,0.3579048880149369,0.21551170004677012,0.20672795982289666,0.4989335420352178,0.029112649718073588,0.02538790733856305,-0.001287430601005866
0,2,0.8480058854682876,0.05923104115903713,0.29219040839698657,0.22449947697963177,-0.012963780111238103,-0.00507340755698405,0.0008155779570401099
0,3,0.2586699652955634,0.22013027884739025,0.18600216081899615,0.5957861445313298,0.09194229126819332,0.016526164870771513,-0.0014968530839480484
0,4,0.809457563553639,0.14534628573220634,0.3908216006608179,0.4979328629913053,0.052963012161323424,0.014716597347668383,-0.0032461482293078977
0,5,0.6900309313227709,0.20321333305054454,0.27734388179404207,0.49364886181435014,0.10890090244420822,0.04077582948668174,-0.001340747677686487
0,6,0.8089849936800996,0.12895420587821899,0.4501368344742533,0.5516055254448136,0.11599081127423827,0.0133935722311744,-0.0019125577851626424
0,7,0.8070166247796471,0.09047889698638047,0.43836167812463256,0.48319962907752084,0.09986541681664612,0.01364171975032157,0.0007782042222295188
0,8,0.8082591871204708,0.15787342214637515,0.4154219424493439,0.5757993664392119,0.11614195486301176,0.11253763186345372,0.007190522309468691
0,9,0.8155503291423721,0.13341883830591014,0.3521121168413758,0.5016679250186218,0.024536171240774705,0.005078136521116324,-0.00025902726150222894
0,10,0.8125646155367521,0.11375333545405779,0.3945078561708458,0.4537879931722773,0.030148583244372407,0.0035136404274422905,-0.0028763283933116606
0,11,0.745576660947957,0.22533361336707816,0.23535891447560048,0.31415728175756163,0.09941924669142975,0.19935655431748353,0.013238401885505806
0,12,0.3552735476468733,0.23324379151793076,0.22398213212011586,0.49757128432214637,0.10572989625019208,0.016038287142663827,-0.0010100391635844638
0,13,0.4066331253658084,0.21688353177921577,0.3019998451154313,0.49727115973627123,0.09861582066019278,0.033545621640261085,-0.0014980373453794117
0,14,0.8137584123047471,0.1614356648743812,0.3679418880533504,0.5005656675209179,0.03059891805245895,0.0026394096782348347,-0.0007681732515951743
0,15,0.3574560490466828,0.2536673782254415,0.3106062193628942,0.4976664017193248,0.09323116379791033,0.014510393288224739,-0.0006601457881159939
0,16,0.8104045744811853,0.1316077650432873,0.41757424399335985,0.49850245017632056,0.0455681761445931,0.028096686222687774,0.0024754531162995115
0,17,0.8082907333579837,0.16639747908424435,0.5381206544934379,0.5281738764988549,0.17221275766517324,0.063722994207422,-0.0025386293735948106
0,18,0.3573000034962308,0.2220388166143068,0.29413098088826767,0.4981849507946144,0.073270363346306,0.035833307177175616,-0.0019119810053098783
0,19,0.693654095708084,0.16471515390393215,0.4480506959130189,0.49225765850205533,0.07067947262743898,0.05190563359462565,-0.000343925534683566
0,20,0.3443517450382166,0.21976516881961922,0.22082871576456503,0.5087328754071502,0.1359040585226943,0.043568090807216006,-0.0001699907435063795
0,21,0.35766629770086805,0.20547564201265378,0.19958066719303288,0.49869792949872155,0.044035454739608536,0.020543143100935465,0.00015857050174768127
0,22,0.807357468230616,0.15986228656362464,0.33486153495432236,0.4985637092445678,0.04278631086744039,0.04397996283444647,-0.002136125010890294
